범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,대학교_재중,대학교_중퇴,대학교_졸업,대학원,기타,미상
절도,2203,38,2488,6850,5758,2655,7593,6124,5207,27291,451,586,3512,2181,2045,7689,999,878,13757
장물,8,0,18,64,29,24,121,152,90,614,13,14,83,54,49,148,9,12,309
사기,338,2,673,3379,669,2294,8706,2151,6582,55356,498,1233,6237,2401,5484,15371,2285,1350,127649
횡령,306,2,384,1328,204,407,1556,692,743,7425,76,129,1181,469,696,3119,540,219,18321
배임,12,0,11,87,0,22,91,0,37,1022,2,5,200,12,49,914,207,36,7451
손괴,365,4,445,1714,125,706,2497,325,1251,11746,129,206,1849,677,887,4267,675,394,8065
살인,16,0,21,57,0,31,87,4,38,273,1,9,24,10,25,62,12,17,408
강도,6,1,19,34,39,41,98,53,136,390,10,14,36,18,40,60,2,5,318
방화,19,0,41,120,41,47,154,48,47,430,8,6,50,19,17,93,16,18,194
성폭력,154,4,315,899,625,458,1322,1518,902,7697,254,194,1721,1716,884,4787,987,299,8122
폭행,1071,21,1435,5802,1626,2566,10128,3003,5185,47868,624,775,6274,2930,3504,14856,2179,1603,109919
상해,591,8,672,2990,1198,1304,5164,2314,3071,23364,430,449,3114,1629,1759,6320,819,641,9373
협박,126,0,192,757,147,298,1214,237,574,5247,40,88,712,181,386,1790,283,147,6922
공갈,12,4,11,72,479,114,206,613,487,1065,25,27,84,64,78,213,34,26,1783
약취와유인,0,0,5,6,2,6,21,3,10,57,0,1,11,1,7,29,7,1,101
체포와감금,9,0,5,23,27,26,113,82,124,599,7,17,62,35,50,157,19,29,1111
"폭력행위등(손괴,강요,주거침입등)",9,0,6,86,174,27,118,188,85,627,12,8,81,61,49,274,43,20,958
"폭력행위등(단체등의구성,활동)",1,0,1,4,12,16,77,10,49,462,4,13,10,5,11,24,2,5,264
통화,2,0,0,2,2,1,10,1,12,34,1,0,5,1,0,3,0,2,228
유가증권·인지·우표,5,0,2,6,0,5,7,7,5,27,0,0,6,0,1,12,3,2,254
문서,20,2,34,197,72,93,360,799,401,2468,43,32,354,188,240,1269,236,54,10852
인장,4,0,4,24,0,6,37,4,10,114,1,0,10,4,12,35,6,3,215
직무유기,0,0,0,0,0,0,0,0,0,20,0,0,7,2,3,58,6,3,2667
직권남용,0,0,0,1,0,0,2,0,0,37,0,1,14,0,6,104,27,4,3802
수뢰,0,0,0,15,0,4,11,0,5,187,0,0,49,2,10,277,60,5,664
증뢰,2,0,1,4,0,3,14,0,8,65,0,1,14,0,3,78,10,0,263
도박과복표,186,2,248,1525,1,433,2471,32,673,8054,11,67,797,159,351,1349,125,247,2795
신앙,4,0,3,32,0,4,31,1,2,109,0,0,13,2,4,85,19,13,645
기타음란행위,33,0,35,97,24,40,147,55,45,647,12,13,114,68,58,288,39,31,321
