범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,대학교_재중,대학교_중퇴,대학교_졸업,대학원,기타,미상
과실치사상,35,1,23,124,10,34,118,24,35,634,9,12,84,53,39,280,52,22,1295
업무상과실치사상,14,0,28,160,1,44,272,4,66,1269,1,10,366,20,50,1090,226,38,1929
실화,40,0,38,177,17,38,204,40,59,657,4,9,121,42,34,248,35,13,240
명예,149,1,174,755,145,227,1152,386,491,5583,78,91,913,621,562,2820,587,133,20443
권리행사방해,24,0,35,173,29,134,435,43,238,2133,1,41,275,35,172,595,99,42,10093
신용업무경매,319,2,391,1433,14,550,2001,61,855,8428,30,106,1003,157,557,2986,601,268,10825
주거침입,112,1,160,556,155,220,755,190,359,3609,37,66,512,213,336,1314,201,116,3862
비밀침해,1,0,0,0,0,0,3,0,0,14,0,0,4,1,0,12,2,0,74
유기,0,0,1,3,0,0,11,0,4,38,1,1,19,4,1,46,10,1,103
교통방해,24,0,17,119,0,31,145,0,27,401,0,1,52,6,24,128,33,8,674
공무방해,116,0,168,586,18,297,1051,89,502,5080,52,81,733,237,333,1589,251,142,1888
도주와범인은닉,1,0,3,13,2,6,12,12,22,174,1,2,24,11,14,65,4,4,322
위증과증거인멸,3,0,8,33,0,9,38,0,13,184,0,1,38,6,13,155,41,13,3559
무고,14,0,11,59,1,27,75,10,22,368,2,8,60,20,36,245,59,27,6407
공안을해하는죄,0,0,0,1,0,1,3,0,2,69,0,1,12,2,5,10,1,1,231
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
음용수에관한죄,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,17
일수와수리에관한죄,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,6
기타,0,0,0,0,0,0,0,2,0,10,0,1,0,0,3,10,12,1,47
가정폭력범죄의처벌등에관한특례법,2,0,7,23,0,7,23,0,12,116,0,2,15,0,8,39,7,2,54
가축분뇨의관리및이용에관한법률,9,0,21,102,0,8,77,0,12,255,0,2,30,2,11,132,19,3,323
감염병의예방및관리에관한법률,2,0,0,4,0,0,20,0,3,107,0,1,6,2,7,18,12,3,22
개발제한구역의지정및관리에관한특별조치법,17,0,14,112,0,15,140,0,9,512,1,1,58,1,17,193,41,8,335
개인정보보호법,0,0,0,6,0,2,26,0,5,276,2,4,60,10,27,265,46,8,1617
건강기능식품에관한법률,1,0,3,23,0,5,26,0,1,130,0,0,25,0,4,53,10,0,153
건설기계관리법,5,0,4,44,0,14,56,0,20,260,1,3,25,1,10,54,0,3,145
건설산업기본법,7,0,15,157,0,26,192,0,42,1158,0,5,197,11,44,531,59,14,667
건축법,49,1,47,393,0,54,385,0,58,1489,0,7,305,12,75,961,209,36,1154
게임산업진흥에관한법률,10,0,35,224,1,120,459,15,260,3072,42,47,465,306,248,798,62,45,1540
결혼중개업의관리에관한법률,2,0,0,4,0,1,10,1,3,52,0,0,10,2,3,22,4,0,50
경범죄처벌법,108,0,152,438,15,173,676,21,287,2318,11,23,256,42,142,593,89,71,1161
고용보험법,10,0,17,117,0,23,152,0,30,673,0,10,151,7,28,262,25,5,1475
공유수면관리및매립에관한법률,7,0,9,43,0,2,45,0,7,75,0,3,20,2,2,33,5,1,31
공유재산및물품관리법,1,0,0,4,0,1,9,0,3,23,1,0,4,0,1,10,3,0,26
공인중개사법,0,0,2,32,0,8,48,1,16,510,2,6,135,5,34,327,20,8,755
공중위생관리법,8,0,16,56,0,5,61,1,8,401,3,11,128,19,50,463,66,11,535
공직선거법,8,1,14,85,4,15,111,8,36,611,5,6,142,30,44,584,267,14,1328
관세법,0,0,1,7,0,1,8,0,3,49,0,3,12,0,3,51,7,2,892
교통사고처리특례법,294,5,501,3806,127,749,5464,935,1309,33025,187,165,3972,1339,1100,12403,1462,2040,128091
국가기술자격법,0,0,0,1,0,0,2,0,1,37,1,0,18,2,3,50,6,1,41
국가보안법,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,8,6,2,48
국민체육진흥법,0,0,1,3,0,4,24,2,12,141,5,6,28,15,17,29,9,8,77
국토의계획및이용에관한법률,11,0,12,100,0,19,123,0,25,507,1,4,77,3,28,246,51,8,379
근로기준법,33,0,54,373,1,103,705,3,255,3752,2,34,700,35,383,2688,523,23,30968
근로자퇴직급여보장법,4,0,7,58,0,11,122,2,35,834,2,10,155,13,62,777,168,4,7074
낚시관리및육성법,1,0,0,22,0,2,25,0,5,97,0,3,13,2,6,31,5,0,13
노동조합및노동관계조정법,1,0,0,0,0,0,2,0,0,44,0,0,12,1,4,81,25,18,1291
농수산물유통및가격안정에관한법률,0,0,0,6,0,1,7,0,0,13,0,1,1,0,1,2,0,1,11
농수산물의원산지표시에관한법률,15,2,21,114,0,29,127,0,29,523,1,12,110,5,24,172,24,2,1798
농지법,11,0,10,82,0,8,91,0,12,270,0,3,40,2,17,135,32,7,556
대기환경보전법,2,0,5,55,0,12,96,0,28,448,0,1,120,2,23,436,71,9,1316
대부업등의등록및금융이용자보호에관한법률,3,0,8,39,0,18,123,9,77,1161,8,23,148,17,120,183,9,44,449
도로교통법,84,1,103,508,47,149,863,290,345,4633,41,48,570,220,225,1609,175,249,4323
도로교통법(무면허운전),412,6,432,1701,475,403,2033,1750,987,9083,67,66,928,414,499,2416,241,405,3357
도로교통법(사고후미조치),20,0,50,288,21,90,467,82,187,3155,14,35,521,109,166,1234,124,143,5195
도로교통법(음주운전),308,4,620,3687,13,1297,7297,241,2518,59256,310,606,11538,1992,3700,31138,3050,2417,12021
도로교통법(음주측정거부),12,0,24,118,0,35,191,2,57,1252,5,13,180,29,67,501,73,40,314
도로법,15,0,21,130,0,46,222,0,45,806,0,7,90,4,32,222,15,16,665
도시및주거환경정비법,0,0,3,23,0,3,11,0,2,389,0,1,26,1,8,145,17,1,564
독점규제및공정거래에관한법률,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,2,0,113
디자인보호법,0,0,0,1,0,0,1,0,0,29,0,3,11,1,2,26,2,0,261
마약류관리에관한법률(대마),19,0,6,26,0,18,59,5,34,311,2,15,31,44,59,123,18,8,411
마약류관리에관한법률(마약),209,1,82,326,0,29,145,0,17,205,0,2,14,3,7,64,29,4,212
마약류관리에관한법률(향정),31,2,42,145,0,265,603,5,389,1996,8,51,196,81,199,563,98,59,1732
물환경보전법,1,0,6,32,0,5,40,0,8,161,0,2,41,2,8,136,19,5,419
배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,5,0,26,65,0,15,66,0,1,6,0,0,0,0,0,1,0,0,48
범죄수익은닉의규제및처벌등에관한법률,0,0,1,1,0,0,2,0,0,25,0,2,0,0,0,24,5,3,346
변호사법,1,0,1,4,0,5,10,0,5,118,1,2,11,0,15,96,16,4,619
병역법,2,0,3,22,0,21,342,2,297,3143,37,95,373,364,593,732,97,49,498
보조금관리에관한법률,27,0,2,28,0,3,30,0,6,171,0,0,52,3,8,179,69,0,159
부동산실권리자명의등기에관한법률,5,0,5,14,0,2,21,0,11,177,1,1,28,1,11,112,29,20,604
부정경쟁방지및영업비밀보호에관한법률,0,0,0,7,0,0,5,0,2,96,2,3,57,0,16,232,38,2,668
부정수표단속법,3,0,3,31,0,6,73,5,12,203,0,3,38,3,15,106,8,5,563
사행행위등규제및처벌특례법,1,0,1,13,0,9,39,0,20,168,1,5,24,4,15,37,0,2,73
산림자원의조성및관리에관한법률,8,0,10,70,0,13,59,0,16,185,1,1,19,1,11,76,12,3,285
산업안전보건법,1,0,6,40,0,3,44,0,17,373,1,5,304,1,25,941,87,3,5591
산지관리법,14,1,29,167,0,30,176,0,27,504,0,1,108,0,21,263,53,3,1209
상표법,5,1,15,65,0,20,123,3,42,918,6,13,189,18,89,423,46,15,1668
석유및석유대체연료사업법,1,0,1,25,0,7,53,0,23,419,0,6,58,0,17,112,12,5,332
선박안전법,1,0,3,22,0,10,30,0,7,73,0,1,14,0,1,45,6,0,30
선박직원법,0,0,8,38,0,1,38,0,15,53,0,1,5,1,0,11,2,0,4
성매매알선등행위의처벌에관한법률,91,0,117,474,7,222,1129,32,491,5806,51,119,872,279,486,1959,252,160,2580
수도법,2,0,2,9,0,1,7,0,2,62,0,0,18,1,10,26,1,0,30
수산업법,29,0,59,266,0,50,240,1,40,322,1,6,45,1,8,31,4,0,270
수산자원관리법,24,1,45,210,0,38,159,0,45,311,1,4,39,2,15,55,14,0,305
식품위생법,146,1,153,701,0,105,816,1,180,2567,5,28,313,34,147,688,84,45,2327
신용정보의이용및보호에관한법률,0,0,0,0,0,2,7,0,1,58,0,0,6,0,2,15,0,0,22
"아동,청소년의성보호에관한법률(성매수등)",1,0,1,5,36,27,46,44,70,171,2,4,31,14,24,77,9,5,104
"아동,청소년의성보호에관한법률(음란물등)",0,0,0,6,32,3,10,72,16,215,15,5,74,130,41,168,21,4,97
아동복지법,15,0,28,104,24,82,256,32,125,1590,9,32,392,30,108,955,225,54,1121
액화석유가스의안전관리및사업법,0,0,0,2,0,1,4,0,2,35,0,0,11,0,2,18,4,0,26
약사법,3,0,1,25,0,5,21,1,4,179,0,2,56,5,17,483,72,5,389
여객자동차운수사업법,0,0,11,33,0,13,86,1,42,414,0,1,42,10,27,105,7,10,311
여신전문금융업법,17,1,29,76,29,39,141,27,49,607,2,4,66,32,44,168,30,12,622
영유아보육법,0,0,0,0,0,1,1,0,0,35,0,2,68,3,5,180,41,0,82
예비군법,1,0,0,8,0,13,355,0,324,3632,25,73,236,202,727,575,78,50,434
옥외광고물등의관리와옥외광고산업진흥에관한법률,0,0,0,6,0,1,15,0,8,152,0,1,19,3,11,76,10,5,61
외국환거래법,0,0,0,5,0,1,10,0,1,91,1,2,13,8,5,64,9,3,927
위험물안전관리법,0,0,1,9,0,3,8,0,2,48,1,2,16,0,0,56,11,0,321
유사수신행위의규제에관한법률,3,0,1,17,0,4,41,1,10,357,0,3,63,3,39,504,28,22,1036
의료기기법,0,0,3,5,0,1,10,0,2,113,0,1,42,7,25,216,32,3,207
의료법,20,0,22,159,1,33,331,3,57,1479,5,17,378,48,89,1849,401,72,1708
자동차관리법,50,0,96,589,0,230,1200,82,449,6788,34,82,1036,146,520,2173,256,154,8466
자동차손해배상보장법,51,1,61,425,8,167,812,187,365,4574,17,54,465,99,351,1074,121,117,17713
자본시장과금융투자업에관한법률,0,0,1,3,0,1,3,0,3,70,0,0,12,8,12,74,12,3,592
저작권법,3,0,3,32,2,17,106,6,55,900,8,16,308,53,112,858,189,44,6888
전자금융거래법,17,1,75,498,8,311,1369,82,657,10935,77,159,1304,586,796,2358,269,244,3823
전파법,1,0,1,6,0,2,13,2,5,102,3,2,35,10,14,113,9,1,374
정보통신망이용촉진및정보보호등에관한법률,6,0,10,69,95,57,217,246,153,2519,36,52,539,443,334,1749,377,58,7956
조세범처벌법,7,0,11,60,0,35,102,0,64,818,1,8,143,3,71,388,67,8,2774
주민등록법,5,1,4,33,47,29,70,523,175,391,25,8,40,66,28,137,26,9,541
주차장법,2,0,1,18,0,1,27,0,3,72,0,0,18,1,11,75,13,2,95
주택법,7,0,7,37,0,14,91,0,16,1489,0,1,96,11,41,409,42,13,388
직업안정법,0,0,2,7,0,11,40,3,30,269,1,8,32,3,11,49,2,3,143
집회및시위에관한법률,1,0,1,5,0,1,9,1,2,89,0,0,5,6,10,52,11,2,206
청소년보호법,93,2,131,630,33,121,779,391,240,3371,55,28,466,554,212,918,95,57,2251
"총포,도검,화약류등의안전관리에관한법률",6,0,8,36,1,6,28,5,7,112,0,0,28,5,6,65,27,2,89
최저임금법,1,0,2,5,0,0,5,0,2,37,0,0,14,0,5,43,19,1,348
축산물위생관리법,4,0,11,38,0,8,45,0,14,190,0,3,34,2,10,70,6,2,205
출입국관리법,15,0,20,146,0,40,336,1,68,1291,2,15,205,11,75,486,48,54,862
통신비밀보호법,1,0,0,1,0,3,10,1,2,72,0,1,17,2,8,49,13,0,181
특가법(도주차량),6,0,16,96,6,24,159,24,57,1095,11,27,175,36,55,423,35,54,1130
특허법,0,0,0,2,0,0,1,0,0,16,0,0,4,1,1,15,3,0,326
폐기물관리법,10,0,16,105,0,29,96,0,42,482,0,4,79,3,26,220,39,5,828
풍속영업의규제에관한법률,3,0,2,7,0,3,26,0,4,84,3,2,16,0,14,26,2,0,43
하천법,3,0,12,29,0,4,36,0,4,72,0,3,12,0,5,42,5,0,54
학교보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
학원의설립운영및과외교습에관한법률,1,0,0,0,0,0,0,0,0,29,1,2,37,12,19,298,107,1,54
화물자동차운수사업법,9,0,12,122,0,36,250,1,79,1576,0,19,199,11,83,373,21,31,556
화재로인한재해보상과보험가입에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"화재예방,소방시설설치유지및안전관리에관한법률",0,0,4,5,0,0,8,0,2,45,0,1,10,1,4,48,13,0,329
화학물질관리법,3,0,2,8,20,16,21,32,36,127,3,5,12,10,17,48,2,5,216
기타특별법,301,2,480,2321,42,679,3674,128,1166,17087,93,215,2494,558,1019,6869,1110,606,14025
